T6_Z2
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1731475281;34.33;27.17;2984
1731475579;32.78;28.79;2984
1731475881;31.44;30.31;2983
1731476182;30.28;31.64;2982
1731476482;29.29;32.85;2980
1731476783;28.43;33.9;2977
1731477083;27.68;34.89;2975
1731477381;27.03;35.76;2973
1731477684;26.46;36.58;2971
1731477982;25.97;37.4;2970
1731478285;25.54;38.13;2968
1731478585;25.84;38.96;2966
1731478885;30.2;34.03;2965
1731479186;35.81;27.07;2966
1731479486;40.68;22.18;2968
1731479786;43.54;19.68;2970
1731480087;44.03;19.21;2972
1731480387;42.6;20.06;2975
1731480688;40.52;21.65;2978
1731480988;38.35;23.42;2981
1731481288;36.32;25.27;2983
1731481589;34.53;27.03;2985
1731481889;32.96;28.67;2985
1731482189;31.6;30.19;2983
1731482487;30.42;31.52;2982
1731482790;29.42;32.71;2980
1731483090;28.54;33.73;2978
1731483391;27.81;34.73;2976
1731483691;27.15;35.69;2974
1731483989;26.58;36.65;2972
1731484292;26.09;37.47;2970
1731484592;25.66;38.25;2968
1731484893;25.29;38.98;2966
1731485193;24.94;39.6;2965
1731485491;24.65;40.21;2964
1731485794;24.37;40.75;2962
1731486094;24.14;41.22;2961
1731486392;23.92;41.73;2960
1731486695;23.73;42.3;2959
1731486993;26.34;40.56;2958
1731487296;32.24;31.91;2959
1731487596;37.96;25.1;2961
1731487897;41.98;21.26;2964
1731488197;42.78;20.42;2967
1731488497;41.56;21.27;2971
1731488798;39.67;22.68;2974
1731489098;37.66;24.06;2977
1731489398;35.74;25.42;2980
1731489699;33.98;27.28;2982
1731489999;32.44;28.4;2982
1731490300;31.14;29.71;2981
1731490600;30.02;30.85;2980
1731490900;29.04;31.86;2978
1731491198;28.2;31.99;2976
1731491501;27.44;33.22;2974
1731491799;26.79;34.31;2972
1731492102;26.3;35.28;2969
1731492402;28.62;33.84;2968
1731492703;33.19;28.58;2968
1731493003;37.68;24.07;2968
1731493303;41.53;20.66;2970
1731493604;43.57;19.13;2972
1731493904;43.03;19.4;2974
1731494204;41.31;20.59;2977
1731494505;39.26;22.15;2979
1731494805;37.25;23.92;2982
1731495103;35.41;25.68;2983
1731495406;33.78;27.4;2984
1731495706;32.36;28.91;2983
1731496007;31.08;31.33;2982
1731496307;30.02;32.27;2980
1731496605;29.11;33.51;2978
1731496908;28.34;34.69;2976
1731497208;27.64;35.61;2975
1731497509;27;36.37;2973
1731497809;26.44;37.03;2971
1731498109;25.96;38.24;2969
1731498410;25.56;39.48;2967
1731498710;25.21;40.47;2965
1731499008;24.88;41.21;2963
1731499311;24.7;42.24;2962
1731499609;27.5;39.8;2961
1731499912;32.52;32.32;2962
1731500212;37.33;26.42;2963
1731500512;41.26;22.33;2965
1731500813;42.54;21.06;2968
1731501113;41.59;21.66;2971
1731501413;39.81;23.09;2974
1731501714;37.86;24.75;2977
1731502014;36;26.5;2980
1731502315;34.31;28.23;2981
1731502615;32.84;29.97;2982
1731502915;31.56;31.6;2981
1731503213;30.44;32.94;2980
1731503516;29.48;34.25;2978
1731503816;28.63;35.44;2976
1731504114;27.92;36.57;2974
1731504417;27.27;37.61;2973
1731504718;26.72;38.53;2971
1731505018;26.22;39.37;2969
1731505318;25.79;40.18;2967
1731505619;25.39;40.9;2965
1731505917;25.06;41.57;2964
1731506219;24.78;42.32;2963
1731506520;27.12;40.56;2962
1731506820;32.11;33.09;2962
1731507121;36.9;27.02;2963
1731507421;41.02;22.78;2965
1731507721;43.49;20.56;2968
1731508022;43.38;20.49;2972
1731508322;41.77;21.42;2974
1731508623;39.71;23.2;2978
1731508920;37.66;24.93;2980
1731509223;35.77;26.72;2983
1731509524;34.1;28.43;2984
1731509824;32.63;30.03;2983
1731510124;31.36;31.49;2982
1731510425;30.25;32.78;2980
1731510723;29.28;33.83;2978
1731511026;28.43;34.83;2976
1731511326;27.69;35.71;2974
1731511626;27.03;36.29;2973
1731511927;26.45;36.82;2971
1731512227;25.92;37.39;2969
1731512525;25.48;38.17;2967
1731512828;25.61;39.09;2965
1731513128;29.47;34.62;2964
1731513428;34.29;28.27;2965
1731513729;38.82;23.52;2966
1731514029;42.33;20.38;2968
1731514330;44.2;18.95;2971
1731514630;43.84;19.02;2973
1731514930;42.09;20.01;2977
1731515231;39.94;21.44;2980
1731515531;37.82;23.01;2982
1731515832;35.86;24.5;2983
1731516132;34.13;25.9;2984
1731516432;32.62;27.33;2984
1731516733;31.31;28.68;2983
1731517033;30.19;29.9;2981
1731517333;29.22;30.96;2979
1731517634;28.38;32.19;2977
1731517932;27.65;33.63;2975
1731518235;26.99;34.63;2973
1731518535;26.44;35.5;2970
1731518833;25.94;36.31;2969
1731519136;25.51;37.1;2967
1731519436;25.12;37.81;2965
1731519736;24.76;38.49;2964
1731520037;24.46;39.07;2962
1731520337;24.51;39.78;2961
1731520638;28.8;35.39;2961
1731520938;33.21;29.47;2961
1731521236;36.22;26.26;2963
1731521539;39.74;22.8;2965
1731521839;41.29;21.37;2968
1731522139;40.62;21.86;2971
1731522437;39.02;23.25;2974
1731522740;37.2;24.94;2977
1731523041;35.44;26.66;2980
1731523341;33.84;28.33;2980
1731523639;32.41;29.95;2981
1731523942;31.18;31.51;2980
1731524242;30.11;32.97;2979
1731524543;29.18;34.19;2977
1731524843;28.37;35.29;2975
1731525143;27.66;36.26;2973
1731525444;27.03;37.07;2971
1731525742;26.47;37.74;2969
1731526044;25.96;38.29;2968
1731526345;25.51;38.83;2966
1731526643;25.11;39.39;2965
1731526945;25.56;39.87;2963
1731527243;29.8;34.55;2963
1731527546;34.6;28.33;2963
1731527847;39.1;23.61;2965
1731528147;42.42;20.63;2967
1731528447;43.15;19.95;2970
1731528748;41.87;20.72;2973
1731529048;39.94;22.16;2975
1731529348;37.93;23.88;2978
1731529649;36.02;25.58;2981
1731529949;34.3;27.24;2982
1731530250;32.8;28.79;2982
1731530547;31.5;30.27;2981
1731530850;30.36;31.59;2980
1731531151;29.39;32.84;2978
1731531451;28.54;33.97;2976
1731531749;27.8;35.07;2974
